mmu-miR v.21,Normalized expression in Brain
mmu-miR-700-3p,165.92
mmu-miR-700-5p,360.44
mmu-miR-701-5p,6.63
mmu-miR-708-5p ,8003.58
mmu-miR-741-3p,0.12
mmu-miR-742-3p,0
mmu-miR-742-5p,0
mmu-miR-743a-3p,0.06
mmu-miR-743b-3p ,0.18
mmu-miR-744-5p,4271.84
mmu-miR-758-3p,77.16
mmu-miR-760-3p,47.38
mmu-miR-760-5p,15.03
mmu-miR-764-3p ,364.36
mmu-miR-770-3p,1478.84
mmu-miR-7a-5p,18679.94
mmu-miR-7b-5p,12743.1
mmu-miR-802-5p,7.67
mmu-miR-871-3p,0.09
mmu-miR-871-5p,0.06
mmu-miR-872-5p,2889.76
mmu-miR-873a-5p,1291.98
mmu-miR-874-3p,1257.13
mmu-miR-875-5p ,2.21
mmu-miR-876-5p ,8.4
mmu-miR-877-3p,13.69
mmu-miR-877-5p,18.39
mmu-miR-878-3p,0
mmu-miR-878-5p,0
mmu-miR-879-5p,1118.31
mmu-miR-880-3p,0.03
mmu-miR-881-3p,0.06
mmu-miR-883a-3p,0
mmu-miR-883a-5p,0
mmu-miR-883b-3p ,0
mmu-miR-9-5p,435309.18
mmu-miR-92a-3p ,452.62
mmu-miR-92a-3p ,25.29
mmu-miR-92b-3p,1204.6
mmu-miR-93-5p,2572.33
mmu-miR-96-5p,341.54
mmu-miR-98-5p,5738.44
mmu-miR-99a-5p,16215.07
mmu-miR-99b-5p,2848.14
